,Standard name,S score (FLC-NoDrug),RNA Seq A17 in vs. out
508,C1_07120W,1.06510728698,-1.68
509,C1_07130C,-0.215000632211,-1.239
510,C1_07150W,-1.54798391561,-0.469
511,C1_07160C,-5.27028306771,-1.596
512,C1_07170C,-2.17435864771,-0.219
513,C1_07180W,-1.31453630576,0.361
514,C1_07190W,-0.375465304404,-0.997
515,C1_07200W,1.76685202108,-0.795
516,C1_07210C,-4.85885682199,-0.541
517,C1_07220W,-0.596871267555,-1.032
518,C1_07230W,-0.367003725656,-0.134
519,C1_07250C,-1.08946975013,0.01
520,C1_07270W,-2.67443225085,-0.31
521,C1_07280C,-2.67443225085,0.107
522,C1_07290W,1.41726758329,0.089
523,C1_07310C,0.784999367789,
524,C1_07320W,4.85108855825,
525,C1_07330W,1.81742084548,-1.193
526,C1_07340W,-6.7307004705,0.182
527,C1_07350C,-1.13253847202,0.202
528,C1_07370C,-1.35250415596,0.399
529,C1_07380C,2.48543908593,-0.596
530,C1_07390W,-3.46292814565,-0.184
531,C1_07400C,3.36996186851,-1.04
532,C1_07420C,-1.70042745938,0.062
533,C1_07430W,0.200036867068,0.985
534,C1_07440W,0.538561472486,-0.743
535,C1_07450W,0.36996186851,-1.319
536,C1_07470C,0.562606946452,0.578
537,C1_07480C,0.452424028702,-0.309
538,C1_07500C,-1.42705110933,-0.098
539,C1_07510W,-2.38492563365,0.326
540,C1_07520C,2.36996186851,-0.137
541,C1_07530W,-1.99260821087,
542,C1_07540C,1.5304265407,0.098
543,C1_07550W,0.36996186851,0.93
544,C1_07570C,0.954924369231,0.236
545,C1_07580C,0.0480337736226,1.823
546,C1_07590C,-0.0450756307689,0.322
547,C1_07610C,3.53988686995,1.083
548,C1_07620C,-1.5369287271,0.796
549,C1_07640C,-3.07298162734,-3.257
550,C1_07650W,-2.02235555427,-3.352
551,C1_07670W,-1.21500063221,-0.293
552,C1_07680W,1.00739178913,-1.079
553,C1_07770W,2.84028180329,1.626
554,C1_07780W,0.784999367789,0.699
555,C1_07790C,0.832305082567,-0.658
556,C1_07820W,2.24443098643,1.158
557,C1_07840W,-1.21500063221,1.292
558,C1_07860W,-3.30246347346,1.027
559,C1_07870C,-0.215000632211,-0.418
560,C1_07890C,1.52196496196,-0.279
561,C1_07900W,-2.43739305355,0.31
562,C1_07920W,4.61788938195,-0.081
563,C1_07930C,-1.17193191032,0.796
564,C1_07940W,-2.40764571015,-0.196
565,C1_07960W,3.42885555756,-1.081
566,C1_07980C,2.55190224611,-0.937
567,C1_07990C,-3.02235555427,-1.039
568,C1_08000W,-0.301415384029,-1.748
569,C1_08020W,1.6594684857,-0.176
570,C1_08030W,1.36996186851,-0.184
571,C1_08040W,2.10692746268,-2.364
572,C1_08050W,1.59235428985,-0.315
573,C1_08060W,1.53346060079,0.006
574,C1_08070W,2.59235428985,-1.563
575,C1_08080C,0.25448465109,0.4
576,C1_08100W,-0.437393053548,-1.145
577,C1_08120W,1.02600746729,-0.339
578,C1_08130C,3.48543908593,-0.426
579,C1_08170C,2.98743718275,-0.008
580,C1_08180C,0.620769972011,0.675
581,C1_08190C,3.92904573741,-0.126
582,C1_08200W,2.42744736317,-1.311
583,C1_08210C,2.91428238473,0.912
584,C1_08230C,2.6594684857,-0.583
585,C1_08240C,0.521964961955,-1.322
586,C1_08260C,3.13077420463,0.036
587,C1_08270C,3.03292688123,-0.987
588,C1_08300W,3.48543908593,-1.276
589,C1_08310W,1.16351099104,-1.027
590,C1_08330C,2.10692746268,1.449
591,C1_08340C,3.64298036292,-0.477
592,C1_08350C,0.0480337736226,-2.03
593,C1_08370W,2.14255137241,-0.838
594,C1_08380W,3.92795732163,-0.102
595,C1_08390C,-1.38492563365,-0.613
596,C1_08400C,5.1565582304,0.871
597,C1_08410C,1.78499936779,0.263
598,C1_08420W,4.73919567818,-0.922
599,C1_08430W,4.66764241715,0.498
600,C1_08460C,1.63048941873,1.996
601,C1_08470W,3.36996186851,1.158
602,C1_08480C,3.36996186851,0.108
603,C1_08490W,3.17731679057,0.812
604,C1_08510W,-0.340531514295,-0.513
605,C1_08530W,4.25097383229,-0.79
606,C1_08570C,4.82939348715,5.353
607,C1_08580C,-2.5369287271,-1.156
608,C1_08610C,3.53988686995,-2.266
609,C1_08620W,1.87246220904,-1.13
610,C1_08640W,2.48543908593,0.276
611,C1_08680C,2.43707606437,0.467
612,C1_08690W,-2.37342999482,0.189
613,C1_08700W,1.20003686707,-1.222
614,C1_08710W,0.299572540619,0.7
615,C1_08730W,0.853386342769,0.897
616,C1_08750W,3.58913038897,-0.357
617,C1_08760W,-1.38492563365,0.171
618,C1_08770W,1.79622662321,0.24
619,C1_08780W,3.03292688123,-1.679
620,C1_08790W,-0.536928727099,-3.3
621,C1_08800W,-1.79996313293,-1.262
622,C1_08820C,4.3997092119,0.561
623,C1_08830C,0.678084163872,-0.989
624,C1_08840W,1.36996186851,-0.766
625,C1_08850C,1.28749970832,-0.136
626,C1_08860C,0.659468485705,-0.047
627,C1_08890C,1.48543908593,-1.383
628,C1_08900W,3.48543908593,-1.587
629,C1_08910C,2.95492436923,0.762
630,C1_08930C,0.784999367789,0.277
631,C1_08940C,1.48543908593,-0.695
632,C1_08950W,-0.215000632211,-0.819
633,C1_08960W,0.360114082554,0.37
634,C1_08970W,5.14255137241,-0.069
635,C1_08990C,5.35485497612,-0.151
636,C1_09000W,2.59235428985,0.698
637,C1_09020W,4.27685246412,-0.314
638,C1_09050W,2.28749970832,-0.746
639,C1_09060C,5.29279400799,1.401
640,C1_09070W,3.0580178622,0.44
641,C1_09080C,-0.915440350352,6.843
642,C1_09090C,1.2224046801,-0.44
643,C1_09100W,1.96786342494,-1.072
644,C1_09110W,2.58558106125,-1.403
645,C1_09120W,-0.215000632211,-0.736
646,C1_09130W,0.569270676733,1.404
647,C1_09140C,-0.0947063984935,-0.407
648,C1_09150W,3.67808416387,-2.874
649,C1_09160W,0.150454838217,-0.596
650,C1_09180W,3.83424288681,0.006
651,C1_09190C,0.244430986426,-0.691
652,C1_09200W,1.70556490029,-1.283
653,C1_09210C,5.51744948083,0.906
654,C1_09220W,-0.490635074825,1.27
655,C1_09230C,-2.58602327663,0.773
656,C1_09240C,2.73919567818,0.027
657,C1_09250W,2.91428238473,-4.181
