S score (FLC+Geld-FLC),RNA Seq A17 in vs. out
-7.4018527791,-0.411
1.133846533,-0.046
-0.775738171800001,0.75
-2.1501336866,1.9
-2.7548594421,4.041
-1.4890301069,2.498
-7.6128404372,3.768
-7.670555935,-0.667
3.0297754035,-0.684
6.0625653386,0.318
-3.4131680923,-0.847
-6.7882075237,-0.962
0.486736072899999,2.981
-7.0130809345,0.247
-2.4131680924,0.427
-2.8282055916,-0.433
2.7383196608,-0.487
2.9159555039,0.532
2.2074183181,1.385
-0.8345939196,-0.494
-2.4131680923,7.271
-1.6058131703,0.903
-7.2711490875,1.168
-5.9830237007,-0.186
-2.7350961872,-1.422
-5.9050211887,2.93
-0.909151029,0.336
-8.2855864707,0.245
-4.5830930938,-0.068
-2.9766411702,2.053
-4.0180301506,1.751
-2.331424943,-0.124
4.7255959775,1.732
0.245794989799997,-1.009
0.780692227799999,-0.23
-8.5679862014,1.006
-0.4095110688,-0.622
3.3237975017,0.077
-6.8807736424,0.058
-4.320058688,0.624
-4.320058688,2.964
-1.4131680923,2.638
-2.339167511,0.709
-5.8054855151,0.109
5.5175692452,0.038
-0.6762024982,1.637
-0.4261403895,1.304
-1.9433261566,2.237
-0.476099348199998,-2.737
-2.4570709143,-0.85
0.3526905276,0.423
-4.0454363079,-0.41
-0.413168092299998,-1.256
2.7541691146,-0.289
-2.2111243164,2.136
-5.4266303522,0.757
-0.3778612237,-0.568
-1.50715505537,3.563
0.861588798499998,0.886
2.4799167037,0.406
-2.6385588418,1.528
-3.9552220017,-0.127
-4.5830930938,0.54
-8.2460581065,-0.458
-1.5100296317,-0.863
-0.204581470599997,-0.187
-1.0681780907,1.067
-7.1813524171,-0.558
-2.6012404406,1.759
-3.7730640374,1.401
-0.296975074899997,1.037
-5.3673644027,-2.464
-3.4131680923,-0.16
-2.4355359054,-0.929
-1.6852476378,0.38
-1.8492672071,0.757
-1.6302662141,-0.626
-8.4792572828,-0.68
0.753839425600001,0.689
-3.0128520988,1.625
-1.5447649752,0.917
1.4994437071,-0.29
-2.9081492263,-0.222
-1.1974394013,0.569
-2.5172910355,0.296
-8.84779632,0.326
-8.0425247124,0.096
-0.734083414299999,-0.723
1.2872716258,1.372
-2.5374962274,1.896
-1.114311507,0.201
5.8722341265,-0.23
-1.4972323572,-0.626
-7.7530180952,0.547
-2.6717011059,1.31
-0.902946171999998,0.812
-2.0549369487,-0.073
-2.567097164,1.006
-6.9523269035,-0.404
-1.6531188852,0.115
-4.5708977969,-0.574
-1.1593591518,-2.057
-2.61110747,-1.216
0.0500785000000015,-1.308
-1.6788520766,-1.147
-1.6162037783,-1.409
-8.9715888056,-0.35
-8.6985703112,0.788
-5.0348423715,-0.046
-5.5830930938,-0.418
-1.3543255183,1.472
0.429862561299998,1.047
-2.6610956058,-0.252
0.1344616237,0.598
2.6911685674,-0.272
-0.0261449693000024,-2.381
-2.7350961872,-4.745
-2.6645042195,-0.358
-2.8517411062,0.368
-5.3580265382,-0.331
-2.8844738113,0.484
-1.7240409988,0.722
-1.7636653395,-1.478
-4.1136078105,-0.694
-1.287356339,0.814
-0.413168092299998,-1.426
-1.4588601831,0.252
-1.2089687878,-0.612
-0.314158086500001,5.58
1.0973497157,0.99
-0.413168092299998,-0.365
-3.9825337381,-0.563
-5.5424511093,0.375
1.4067502911,0.977
-1.1983427796,2.637
-0.480912698999998,-0.723
-9.4873095551,-1.551
-0.316143638,-0.229
-0.6535663018,-0.875
-1.0320779251,-2.488
-1.6826287674,4.804
-1.8548906998,-1.159
-2.0583911179,0.708
-1.4717429186,-0.017
-0.254250081999999,0.722
-2.5434244784,11.29
-2.1136078105,2.078
-0.923920819299999,3.628
-1.2721740929,-0.086
-0.837622333000001,-0.282
-0.479839131999999,1.649
-0.905826488799999,4.465
-0.413168092299998,0.295
-2.5605505251,0.894
-6.839432847,0.339
-0.7465918261,0.088
-3.4131680923,1.271
-0.413168092299998,0.61
-4.6007950956,-1.341
1.0531499118,0.148
-3.4615311139,1.117
1.4035246942,-0.972
-8.2269492836,0.385
-7.9754105166,0.718
-3.872599711,-0.602
-3.1223635038,-0.466
0.383740042300001,0.086
-2.9860577609,0.16
-3.5830930938,0.486
-1.4321762072,0.582
-1.6528020656,-0.577
-1.4766632699,2.633
-6.6985703112,4.376
-3.2205230144,-0.404
-0.413168092299998,2.784
-1.4444642229,-0.639
-4.0790505885,5.95
-1.8991803101,1.691
-2.2740724827,-1.382
0.903356644000001,-0.147
-3.5830930938,2.554
3.0968895993,0.055
-6.3904480158,-0.015
-1.6269473834,-0.806
-4.0352199118,0.174
-1.7872559635,0.294
-0.937101159700001,-2.656
0.586831907700002,-0.297
-8.4075215292,0.38
-3.9981305931,2.718
-1.8069464723,1.614
-1.7192371102,-1.215
-1.3223360287,-0.647
